Date,Client,Region,Month,Year,Quarter,Amount,YearQuarter,PartialYear
6/6/2021,Sol Company,South,June,2021,Q2,554702,2021-Q2,No
6/11/2021,Sol Company,West,June,2021,Q2,208368,2021-Q2,No
6/14/2021,Sol Company,South,June,2021,Q2,1816220,2021-Q2,No
6/14/2021,Sol Company,South,June,2021,Q2,1746236,2021-Q2,No
6/15/2021,Sol Company,South,June,2021,Q2,1683489,2021-Q2,No
6/17/2021,Sol Company,South,June,2021,Q2,591696,2021-Q2,No
6/17/2021,Sol Company,South,June,2021,Q2,1908492,2021-Q2,No
6/20/2021,Sol Company,South,June,2021,Q2,1649849,2021-Q2,No
6/20/2021,Sol Company,South,June,2021,Q2,1081699,2021-Q2,No
6/20/2021,Sol Company,West,June,2021,Q2,680075,2021-Q2,No
6/21/2021,Sol Company,South,June,2021,Q2,1957975,2021-Q2,No
6/21/2021,Sol Company,West,June,2021,Q2,969416,2021-Q2,No
6/24/2021,Sol Company,West,June,2021,Q2,1172620,2021-Q2,No
6/24/2021,Sol Company,West,June,2021,Q2,1203365,2021-Q2,No
6/26/2021,Sol Company,West,June,2021,Q2,1835094,2021-Q2,No
6/27/2021,Sol Company,North,June,2021,Q2,836312,2021-Q2,No
7/2/2021,Sol Company,West,July,2021,Q3,263474,2021-Q3,No
7/2/2021,Sol Company,West,July,2021,Q3,1413232,2021-Q3,No
7/3/2021,Sol Company,West,July,2021,Q3,919477,2021-Q3,No
7/8/2021,Sol Company,West,July,2021,Q3,226279,2021-Q3,No
7/16/2021,Sol Company,West,July,2021,Q3,1295300,2021-Q3,No
7/16/2021,Sol Company,West,July,2021,Q3,524387,2021-Q3,No
7/17/2021,Sol Company,West,July,2021,Q3,1508451,2021-Q3,No
7/18/2021,Sol Company,North,July,2021,Q3,1584122,2021-Q3,No
7/19/2021,Sol Company,West,July,2021,Q3,184898,2021-Q3,No
7/21/2021,Sol Company,West,July,2021,Q3,1979686,2021-Q3,No
7/21/2021,Sol Company,West,July,2021,Q3,453584,2021-Q3,No
7/22/2021,Sol Company,West,July,2021,Q3,1635219,2021-Q3,No
7/28/2021,Sol Company,West,July,2021,Q3,547110,2021-Q3,No
7/29/2021,Sol Company,West,July,2021,Q3,934991,2021-Q3,No
8/1/2021,Sol Company,West,August,2021,Q3,1527508,2021-Q3,No
8/1/2021,Sol Company,West,August,2021,Q3,639256,2021-Q3,No
8/6/2021,Sol Company,North,August,2021,Q3,142216,2021-Q3,No
8/7/2021,Sol Company,West,August,2021,Q3,738240,2021-Q3,No
8/8/2021,Sol Company,North,August,2021,Q3,706781,2021-Q3,No
8/9/2021,Sol Company,South,August,2021,Q3,458322,2021-Q3,No
8/10/2021,Sol Company,South,August,2021,Q3,1391712,2021-Q3,No
8/10/2021,Sol Company,South,August,2021,Q3,692970,2021-Q3,No
8/10/2021,Sol Company,South,August,2021,Q3,308741,2021-Q3,No
8/11/2021,Sol Company,West,August,2021,Q3,1365868,2021-Q3,No
8/11/2021,Sol Company,South,August,2021,Q3,1286518,2021-Q3,No
8/13/2021,Sol Company,South,August,2021,Q3,1716666,2021-Q3,No
8/14/2021,Sol Company,South,August,2021,Q3,814289,2021-Q3,No
8/14/2021,Sol Company,East,August,2021,Q3,1030173,2021-Q3,No
8/15/2021,Sol Company,East,August,2021,Q3,1380984,2021-Q3,No
8/16/2021,Sol Company,South,August,2021,Q3,154041,2021-Q3,No
8/18/2021,Sol Company,West,August,2021,Q3,1663102,2021-Q3,No
8/20/2021,Sol Company,South,August,2021,Q3,375259,2021-Q3,No
8/21/2021,Sol Company,West,August,2021,Q3,278132,2021-Q3,No
8/23/2021,Sol Company,South,August,2021,Q3,269577,2021-Q3,No
8/24/2021,Sol Company,West,August,2021,Q3,1321245,2021-Q3,No
8/24/2021,Sol Company,South,August,2021,Q3,1615558,2021-Q3,No
8/24/2021,Sol Company,West,August,2021,Q3,310439,2021-Q3,No
8/28/2021,Sol Company,East,August,2021,Q3,1497241,2021-Q3,No
8/31/2021,Sol Company,East,August,2021,Q3,556276,2021-Q3,No
9/3/2021,Sol Company,East,September,2021,Q3,1532238,2021-Q3,No
9/4/2021,Sol Company,East,September,2021,Q3,420324,2021-Q3,No
9/5/2021,Sol Company,East,September,2021,Q3,532194,2021-Q3,No
9/5/2021,Sol Company,East,September,2021,Q3,1757686,2021-Q3,No
9/7/2021,Sol Company,East,September,2021,Q3,1557016,2021-Q3,No
9/7/2021,Sol Company,North,September,2021,Q3,531649,2021-Q3,No
9/15/2021,Sol Company,North,September,2021,Q3,175455,2021-Q3,No
9/15/2021,Sol Company,North,September,2021,Q3,1100820,2021-Q3,No
9/17/2021,Sol Company,North,September,2021,Q3,1655034,2021-Q3,No
9/18/2021,Sol Company,North,September,2021,Q3,1187393,2021-Q3,No
9/21/2021,Sol Company,North,September,2021,Q3,762023,2021-Q3,No
9/22/2021,Sol Company,North,September,2021,Q3,1132099,2021-Q3,No
9/24/2021,Sol Company,North,September,2021,Q3,492619,2021-Q3,No
9/25/2021,Sol Company,North,September,2021,Q3,415572,2021-Q3,No
10/3/2021,Sol Company,East,October,2021,Q4,1624960,2021-Q4,No
10/6/2021,Sol Company,East,October,2021,Q4,1706175,2021-Q4,No
10/9/2021,Sol Company,East,October,2021,Q4,1863812,2021-Q4,No
10/11/2021,Sol Company,East,October,2021,Q4,1305768,2021-Q4,No
10/15/2021,Sol Company,East,October,2021,Q4,693940,2021-Q4,No
10/15/2021,Sol Company,East,October,2021,Q4,1456477,2021-Q4,No
10/15/2021,Sol Company,East,October,2021,Q4,677163,2021-Q4,No
10/16/2021,Sol Company,North,October,2021,Q4,192766,2021-Q4,No
10/16/2021,Sol Company,East,October,2021,Q4,1501306,2021-Q4,No
10/18/2021,Sol Company,East,October,2021,Q4,728012,2021-Q4,No
10/22/2021,Sol Company,East,October,2021,Q4,154888,2021-Q4,No
10/23/2021,Sol Company,North,October,2021,Q4,319150,2021-Q4,No
10/24/2021,Sol Company,North,October,2021,Q4,1785872,2021-Q4,No
10/28/2021,Sol Company,North,October,2021,Q4,491015,2021-Q4,No
10/28/2021,Sol Company,North,October,2021,Q4,679174,2021-Q4,No
10/29/2021,Sol Company,North,October,2021,Q4,831388,2021-Q4,No
11/2/2021,Sol Company,North,November,2021,Q4,1301370,2021-Q4,No
11/4/2021,Sol Company,North,November,2021,Q4,956612,2021-Q4,No
11/5/2021,Sol Company,North,November,2021,Q4,1566826,2021-Q4,No
11/6/2021,Sol Company,North,November,2021,Q4,1871003,2021-Q4,No
11/8/2021,Sol Company,East,November,2021,Q4,1538943,2021-Q4,No
11/9/2021,Sol Company,North,November,2021,Q4,149317,2021-Q4,No
11/11/2021,Sol Company,North,November,2021,Q4,1835071,2021-Q4,No
11/12/2021,Sol Company,North,November,2021,Q4,428155,2021-Q4,No
11/13/2021,Sol Company,West,November,2021,Q4,1479869,2021-Q4,No
11/14/2021,Sol Company,West,November,2021,Q4,455008,2021-Q4,No
11/15/2021,Sol Company,East,November,2021,Q4,857548,2021-Q4,No
11/18/2021,Sol Company,East,November,2021,Q4,1698152,2021-Q4,No
11/20/2021,Sol Company,East,November,2021,Q4,1538034,2021-Q4,No
11/22/2021,Sol Company,East,November,2021,Q4,431646,2021-Q4,No
11/23/2021,Sol Company,West,November,2021,Q4,1613353,2021-Q4,No
11/23/2021,Sol Company,East,November,2021,Q4,1891735,2021-Q4,No
11/24/2021,Sol Company,North,November,2021,Q4,1287970,2021-Q4,No
11/25/2021,Sol Company,West,November,2021,Q4,172298,2021-Q4,No
11/26/2021,Sol Company,West,November,2021,Q4,140917,2021-Q4,No
11/29/2021,Sol Company,West,November,2021,Q4,651020,2021-Q4,No
11/29/2021,Sol Company,West,November,2021,Q4,1707982,2021-Q4,No
12/8/2021,Sol Company,West,December,2021,Q4,1093090,2021-Q4,No
12/9/2021,Sol Company,West,December,2021,Q4,768195,2021-Q4,No
12/10/2021,Sol Company,West,December,2021,Q4,753790,2021-Q4,No
12/14/2021,Sol Company,West,December,2021,Q4,597968,2021-Q4,No
12/14/2021,Sol Company,North,December,2021,Q4,1975800,2021-Q4,No
12/18/2021,Sol Company,West,December,2021,Q4,401833,2021-Q4,No
12/20/2021,Sol Company,East,December,2021,Q4,997894,2021-Q4,No
12/20/2021,Sol Company,South,December,2021,Q4,484032,2021-Q4,No
12/22/2021,Sol Company,West,December,2021,Q4,1797272,2021-Q4,No
12/24/2021,Sol Company,East,December,2021,Q4,653332,2021-Q4,No
12/24/2021,Sol Company,East,December,2021,Q4,172372,2021-Q4,No
12/26/2021,Sol Company,West,December,2021,Q4,1152230,2021-Q4,No
12/28/2021,Sol Company,West,December,2021,Q4,202460,2021-Q4,No
12/29/2021,Sol Company,West,December,2021,Q4,1248770,2021-Q4,No
1/4/2022,Sol Company,North,January,2022,Q1,890440,2022-Q1,No
1/4/2022,Sol Company,South,January,2022,Q1,699946,2022-Q1,No
1/12/2022,Sol Company,East,January,2022,Q1,1345108,2022-Q1,No
1/12/2022,Sol Company,North,January,2022,Q1,208248,2022-Q1,No
1/12/2022,Sol Company,East,January,2022,Q1,231825,2022-Q1,No
1/14/2022,Sol Company,West,January,2022,Q1,1368251,2022-Q1,No
1/15/2022,Sol Company,South,January,2022,Q1,1766857,2022-Q1,No
1/16/2022,Sol Company,South,January,2022,Q1,362392,2022-Q1,No
1/18/2022,Sol Company,East,January,2022,Q1,1376384,2022-Q1,No
1/18/2022,Sol Company,West,January,2022,Q1,303946,2022-Q1,No
1/21/2022,Sol Company,South,January,2022,Q1,1446936,2022-Q1,No
1/21/2022,Sol Company,East,January,2022,Q1,1693881,2022-Q1,No
1/27/2022,Sol Company,South,January,2022,Q1,1162971,2022-Q1,No
1/28/2022,Sol Company,East,January,2022,Q1,332072,2022-Q1,No
1/28/2022,Sol Company,West,January,2022,Q1,1509100,2022-Q1,No
1/29/2022,Sol Company,South,January,2022,Q1,1816733,2022-Q1,No
1/30/2022,Sol Company,North,January,2022,Q1,1904892,2022-Q1,No
1/30/2022,Sol Company,North,January,2022,Q1,1844904,2022-Q1,No
1/31/2022,Sol Company,North,January,2022,Q1,769203,2022-Q1,No
1/31/2022,Sol Company,East,January,2022,Q1,1451234,2022-Q1,No
2/1/2022,Sol Company,South,February,2022,Q1,548582,2022-Q1,No
2/2/2022,Sol Company,North,February,2022,Q1,560067,2022-Q1,No
2/2/2022,Sol Company,South,February,2022,Q1,1379309,2022-Q1,No
2/5/2022,Sol Company,East,February,2022,Q1,342741,2022-Q1,No
2/6/2022,Sol Company,South,February,2022,Q1,681756,2022-Q1,No
2/7/2022,Sol Company,East,February,2022,Q1,619416,2022-Q1,No
2/10/2022,Sol Company,North,February,2022,Q1,485770,2022-Q1,No
2/10/2022,Sol Company,South,February,2022,Q1,1229004,2022-Q1,No
2/10/2022,Sol Company,South,February,2022,Q1,1025294,2022-Q1,No
2/11/2022,Sol Company,South,February,2022,Q1,540529,2022-Q1,No
2/13/2022,Sol Company,East,February,2022,Q1,1020997,2022-Q1,No
2/13/2022,Sol Company,South,February,2022,Q1,991075,2022-Q1,No
2/14/2022,Sol Company,West,February,2022,Q1,1909906,2022-Q1,No
2/15/2022,Sol Company,West,February,2022,Q1,867097,2022-Q1,No
2/17/2022,Sol Company,South,February,2022,Q1,1403980,2022-Q1,No
2/20/2022,Sol Company,East,February,2022,Q1,1528172,2022-Q1,No
2/21/2022,Sol Company,North,February,2022,Q1,619639,2022-Q1,No
2/21/2022,Sol Company,North,February,2022,Q1,621829,2022-Q1,No
2/21/2022,Sol Company,North,February,2022,Q1,774735,2022-Q1,No
2/21/2022,Sol Company,South,February,2022,Q1,849848,2022-Q1,No
2/21/2022,Sol Company,East,February,2022,Q1,1322622,2022-Q1,No
2/21/2022,Sol Company,West,February,2022,Q1,1192453,2022-Q1,No
2/22/2022,Sol Company,South,February,2022,Q1,740388,2022-Q1,No
2/24/2022,Sol Company,North,February,2022,Q1,741779,2022-Q1,No
2/25/2022,Sol Company,South,February,2022,Q1,1882278,2022-Q1,No
3/2/2022,Sol Company,West,March,2022,Q1,163305,2022-Q1,No
3/2/2022,Sol Company,South,March,2022,Q1,1002596,2022-Q1,No
3/2/2022,Sol Company,East,March,2022,Q1,1599567,2022-Q1,No
3/4/2022,Sol Company,East,March,2022,Q1,1190683,2022-Q1,No
3/5/2022,Sol Company,South,March,2022,Q1,1051637,2022-Q1,No
3/6/2022,Sol Company,West,March,2022,Q1,264522,2022-Q1,No
3/7/2022,Sol Company,South,March,2022,Q1,412015,2022-Q1,No
3/7/2022,Sol Company,North,March,2022,Q1,1614571,2022-Q1,No
3/8/2022,Sol Company,East,March,2022,Q1,254514,2022-Q1,No
3/9/2022,Sol Company,South,March,2022,Q1,1444944,2022-Q1,No
3/9/2022,Sol Company,South,March,2022,Q1,216677,2022-Q1,No
3/10/2022,Sol Company,East,March,2022,Q1,792194,2022-Q1,No
3/12/2022,Sol Company,South,March,2022,Q1,1068878,2022-Q1,No
3/14/2022,Sol Company,East,March,2022,Q1,1045898,2022-Q1,No
3/15/2022,Sol Company,North,March,2022,Q1,488346,2022-Q1,No
3/16/2022,Sol Company,South,March,2022,Q1,1931891,2022-Q1,No
3/17/2022,Sol Company,East,March,2022,Q1,365633,2022-Q1,No
3/17/2022,Sol Company,North,March,2022,Q1,1960330,2022-Q1,No
3/18/2022,Sol Company,West,March,2022,Q1,1549591,2022-Q1,No
3/20/2022,Sol Company,South,March,2022,Q1,1396686,2022-Q1,No
3/21/2022,Sol Company,East,March,2022,Q1,598158,2022-Q1,No
3/23/2022,Sol Company,East,March,2022,Q1,1128891,2022-Q1,No
3/23/2022,Sol Company,North,March,2022,Q1,1831381,2022-Q1,No
3/24/2022,Sol Company,West,March,2022,Q1,974375,2022-Q1,No
3/25/2022,Sol Company,South,March,2022,Q1,187578,2022-Q1,No
3/27/2022,Sol Company,South,March,2022,Q1,1671909,2022-Q1,No
3/28/2022,Sol Company,East,March,2022,Q1,1049303,2022-Q1,No
3/29/2022,Sol Company,West,March,2022,Q1,255056,2022-Q1,No
3/30/2022,Sol Company,South,March,2022,Q1,1013527,2022-Q1,No
3/30/2022,Sol Company,East,March,2022,Q1,1409749,2022-Q1,No
4/3/2022,Sol Company,South,April,2022,Q1,613870,2022-Q1,No
4/4/2022,Sol Company,East,April,2022,Q1,1733091,2022-Q1,No
4/4/2022,Sol Company,West,April,2022,Q1,350793,2022-Q1,No
4/5/2022,Sol Company,South,April,2022,Q1,861955,2022-Q1,No
4/7/2022,Sol Company,North,April,2022,Q1,1713238,2022-Q1,No
4/11/2022,Sol Company,North,April,2022,Q1,1219629,2022-Q1,No
4/11/2022,Sol Company,North,April,2022,Q1,1489196,2022-Q1,No
4/12/2022,Sol Company,East,April,2022,Q1,1567746,2022-Q1,No
4/14/2022,Sol Company,South,April,2022,Q1,1485483,2022-Q1,No
4/20/2022,Sol Company,North,April,2022,Q1,1210891,2022-Q1,No
4/21/2022,Sol Company,South,April,2022,Q1,1939148,2022-Q1,No
4/21/2022,Sol Company,East,April,2022,Q1,1263558,2022-Q1,No
4/23/2022,Sol Company,South,April,2022,Q1,633445,2022-Q1,No
4/24/2022,Sol Company,East,April,2022,Q1,1293856,2022-Q1,No
4/28/2022,Sol Company,South,April,2022,Q1,1794560,2022-Q1,No
4/30/2022,Sol Company,South,April,2022,Q1,530477,2022-Q1,No
4/30/2022,Sol Company,North,April,2022,Q1,1482817,2022-Q1,No
5/4/2022,Sol Company,South,May,2022,Q2,543637,2022-Q2,No
5/4/2022,Sol Company,East,May,2022,Q2,793983,2022-Q2,No
5/6/2022,Sol Company,South,May,2022,Q2,1736583,2022-Q2,No
5/7/2022,Sol Company,West,May,2022,Q2,1366036,2022-Q2,No
5/10/2022,Sol Company,West,May,2022,Q2,1695853,2022-Q2,No
5/11/2022,Sol Company,South,May,2022,Q2,499256,2022-Q2,No
5/12/2022,Sol Company,East,May,2022,Q2,1559663,2022-Q2,No
5/12/2022,Sol Company,North,May,2022,Q2,1038488,2022-Q2,No
5/16/2022,Sol Company,North,May,2022,Q2,630073,2022-Q2,No
5/17/2022,Sol Company,East,May,2022,Q2,1886401,2022-Q2,No
5/17/2022,Sol Company,West,May,2022,Q2,381940,2022-Q2,No
5/17/2022,Sol Company,North,May,2022,Q2,1243853,2022-Q2,No
5/17/2022,Sol Company,South,May,2022,Q2,717738,2022-Q2,No
5/18/2022,Sol Company,South,May,2022,Q2,1922753,2022-Q2,No
5/20/2022,Sol Company,North,May,2022,Q2,766953,2022-Q2,No
5/21/2022,Sol Company,South,May,2022,Q2,1436558,2022-Q2,No
5/22/2022,Sol Company,East,May,2022,Q2,359238,2022-Q2,No
5/24/2022,Titan Industries,West,May,2022,Q2,935260,2022-Q2,No
5/24/2022,Titan Industries,South,May,2022,Q2,1170290,2022-Q2,No
5/26/2022,Titan Industries,East,May,2022,Q2,1399111,2022-Q2,No
5/27/2022,Titan Industries,West,May,2022,Q2,1349313,2022-Q2,No
5/27/2022,Titan Industries,South,May,2022,Q2,1246102,2022-Q2,No
5/28/2022,Titan Industries,South,May,2022,Q2,1216686,2022-Q2,No
5/29/2022,Titan Industries,East,May,2022,Q2,553592,2022-Q2,No
5/29/2022,Titan Industries,North,May,2022,Q2,1613825,2022-Q2,No
5/30/2022,Titan Industries,South,May,2022,Q2,1151530,2022-Q2,No
5/30/2022,Titan Industries,South,May,2022,Q2,1505763,2022-Q2,No
6/1/2022,Titan Industries,East,June,2022,Q2,1654795,2022-Q2,No
6/2/2022,Titan Industries,South,June,2022,Q2,145397,2022-Q2,No
6/3/2022,Titan Industries,East,June,2022,Q2,162687,2022-Q2,No
6/5/2022,Titan Industries,North,June,2022,Q2,1015528,2022-Q2,No
6/8/2022,Titan Industries,South,June,2022,Q2,1695801,2022-Q2,No
6/9/2022,Titan Industries,North,June,2022,Q2,299988,2022-Q2,No
6/9/2022,Titan Industries,East,June,2022,Q2,1493683,2022-Q2,No
6/9/2022,Titan Industries,West,June,2022,Q2,633604,2022-Q2,No
6/12/2022,Titan Industries,South,June,2022,Q2,986904,2022-Q2,No
6/13/2022,Titan Industries,East,June,2022,Q2,1721416,2022-Q2,No
6/14/2022,Titan Industries,East,June,2022,Q2,768191,2022-Q2,No
6/14/2022,Titan Industries,North,June,2022,Q2,1678538,2022-Q2,No
6/15/2022,Titan Industries,West,June,2022,Q2,1482479,2022-Q2,No
6/17/2022,Titan Industries,South,June,2022,Q2,1360610,2022-Q2,No
6/18/2022,Titan Industries,South,June,2022,Q2,1327948,2022-Q2,No
6/21/2022,Titan Industries,East,June,2022,Q2,470519,2022-Q2,No
6/22/2022,Titan Industries,West,June,2022,Q2,1614083,2022-Q2,No
6/23/2022,Titan Industries,East,June,2022,Q2,443420,2022-Q2,No
6/23/2022,Titan Industries,South,June,2022,Q2,1545186,2022-Q2,No
6/27/2022,Titan Industries,East,June,2022,Q2,1051248,2022-Q2,No
6/27/2022,Titan Industries,South,June,2022,Q2,1517230,2022-Q2,No
6/28/2022,Titan Industries,West,June,2022,Q2,873882,2022-Q2,No
6/29/2022,Titan Industries,South,June,2022,Q2,754301,2022-Q2,No
7/2/2022,Titan Industries,North,July,2022,Q3,369331,2022-Q3,No
7/4/2022,Timefall Inc.,North,July,2022,Q3,1998763,2022-Q3,No
7/4/2022,Timefall Inc.,North,July,2022,Q3,1183220,2022-Q3,No
7/8/2022,Timefall Inc.,East,July,2022,Q3,798923,2022-Q3,No
7/9/2022,Timefall Inc.,East,July,2022,Q3,1156733,2022-Q3,No
7/9/2022,Timefall Inc.,South,July,2022,Q3,580939,2022-Q3,No
7/9/2022,Timefall Inc.,South,July,2022,Q3,648732,2022-Q3,No
7/9/2022,Timefall Inc.,South,July,2022,Q3,747931,2022-Q3,No
7/9/2022,Timefall Inc.,North,July,2022,Q3,936508,2022-Q3,No
7/12/2022,Timefall Inc.,East,July,2022,Q3,1929643,2022-Q3,No
7/13/2022,Timefall Inc.,South,July,2022,Q3,1967857,2022-Q3,No
7/15/2022,Timefall Inc.,South,July,2022,Q3,259975,2022-Q3,No
7/16/2022,Timefall Inc.,North,July,2022,Q3,1374309,2022-Q3,No
7/16/2022,Timefall Inc.,South,July,2022,Q3,1430419,2022-Q3,No
7/19/2022,Timefall Inc.,East,July,2022,Q3,1648652,2022-Q3,No
7/25/2022,Timefall Inc.,South,July,2022,Q3,608773,2022-Q3,No
7/25/2022,Timefall Inc.,West,July,2022,Q3,1752206,2022-Q3,No
7/26/2022,Timefall Inc.,West,July,2022,Q3,678100,2022-Q3,No
7/31/2022,Timefall Inc.,South,July,2022,Q3,1681097,2022-Q3,No
8/1/2022,Timefall Inc.,North,August,2022,Q3,1982446,2022-Q3,No
8/1/2022,Timefall Inc.,East,August,2022,Q3,615129,2022-Q3,No
8/2/2022,Timefall Inc.,North,August,2022,Q3,1953112,2022-Q3,No
8/2/2022,Timefall Inc.,North,August,2022,Q3,1334216,2022-Q3,No
8/5/2022,Timefall Inc.,South,August,2022,Q3,923297,2022-Q3,No
8/5/2022,Timefall Inc.,East,August,2022,Q3,1060035,2022-Q3,No
8/5/2022,Timefall Inc.,West,August,2022,Q3,1213464,2022-Q3,No
8/6/2022,Timefall Inc.,South,August,2022,Q3,1441704,2022-Q3,No
8/10/2022,Timefall Inc.,North,August,2022,Q3,509308,2022-Q3,No
8/10/2022,Timefall Inc.,South,August,2022,Q3,795151,2022-Q3,No
8/11/2022,Timefall Inc.,East,August,2022,Q3,970001,2022-Q3,No
8/13/2022,Timefall Inc.,West,August,2022,Q3,1323102,2022-Q3,No
8/14/2022,Timefall Inc.,South,August,2022,Q3,1719288,2022-Q3,No
8/15/2022,Timefall Inc.,East,August,2022,Q3,545305,2022-Q3,No
8/15/2022,Timefall Inc.,South,August,2022,Q3,1100065,2022-Q3,No
8/17/2022,Timefall Inc.,West,August,2022,Q3,1178486,2022-Q3,No
8/23/2022,Timefall Inc.,South,August,2022,Q3,725587,2022-Q3,No
8/23/2022,Timefall Inc.,North,August,2022,Q3,1682112,2022-Q3,No
8/24/2022,Timefall Inc.,East,August,2022,Q3,1283815,2022-Q3,No
8/26/2022,Timefall Inc.,South,August,2022,Q3,1728548,2022-Q3,No
8/29/2022,Timefall Inc.,South,August,2022,Q3,1184509,2022-Q3,No
8/31/2022,Timefall Inc.,East,August,2022,Q3,1403679,2022-Q3,No
9/1/2022,Timefall Inc.,South,September,2022,Q3,1182590,2022-Q3,No
9/2/2022,Timefall Inc.,East,September,2022,Q3,218240,2022-Q3,No
9/7/2022,Timefall Inc.,North,September,2022,Q3,1793709,2022-Q3,No
9/11/2022,Timefall Inc.,South,September,2022,Q3,881630,2022-Q3,No
9/12/2022,Timefall Inc.,East,September,2022,Q3,1579357,2022-Q3,No
9/12/2022,Timefall Inc.,North,September,2022,Q3,1881690,2022-Q3,No
9/12/2022,Timefall Inc.,West,September,2022,Q3,425145,2022-Q3,No
9/12/2022,Timefall Inc.,South,September,2022,Q3,170272,2022-Q3,No
9/13/2022,Timefall Inc.,East,September,2022,Q3,1340840,2022-Q3,No
9/15/2022,Timefall Inc.,East,September,2022,Q3,1731924,2022-Q3,No
9/15/2022,Timefall Inc.,North,September,2022,Q3,1030957,2022-Q3,No
9/16/2022,Timefall Inc.,West,September,2022,Q3,247066,2022-Q3,No
9/18/2022,Timefall Inc.,South,September,2022,Q3,250567,2022-Q3,No
9/20/2022,Timefall Inc.,South,September,2022,Q3,1186037,2022-Q3,No
9/21/2022,Timefall Inc.,East,September,2022,Q3,1537340,2022-Q3,No
9/28/2022,Timefall Inc.,West,September,2022,Q3,552073,2022-Q3,No
9/29/2022,Timefall Inc.,South,September,2022,Q3,686369,2022-Q3,No
9/30/2022,Timefall Inc.,East,September,2022,Q3,953560,2022-Q3,No
10/1/2022,Timefall Inc.,South,October,2022,Q4,1135057,2022-Q4,No
10/2/2022,Timefall Inc.,East,October,2022,Q4,774526,2022-Q4,No
10/2/2022,Timefall Inc.,West,October,2022,Q4,1015942,2022-Q4,No
10/2/2022,Timefall Inc.,South,October,2022,Q4,1993520,2022-Q4,No
10/4/2022,Timefall Inc.,North,October,2022,Q4,259226,2022-Q4,No
10/5/2022,Timefall Inc.,North,October,2022,Q4,500000,2022-Q4,No
10/6/2022,Timefall Inc.,North,October,2022,Q4,480000,2022-Q4,No
10/6/2022,Timefall Inc.,East,October,2022,Q4,1323102,2022-Q4,No
10/7/2022,Timefall Inc.,South,October,2022,Q4,1719288,2022-Q4,No
10/7/2022,Timefall Inc.,North,October,2022,Q4,545305,2022-Q4,No
10/8/2022,Timefall Inc.,South,October,2022,Q4,1100065,2022-Q4,No
10/9/2022,Timefall Inc.,East,October,2022,Q4,1178486,2022-Q4,No
10/11/2022,Timefall Inc.,South,October,2022,Q4,725587,2022-Q4,No
10/11/2022,Timefall Inc.,East,October,2022,Q4,1682112,2022-Q4,No
10/13/2022,Timefall Inc.,South,October,2022,Q4,1728548,2022-Q4,No
10/13/2022,Timefall Inc.,South,October,2022,Q4,1283815,2022-Q4,No
10/15/2022,Bridges Company,North,October,2022,Q4,1184509,2022-Q4,No
10/15/2022,Bridges Company,South,October,2022,Q4,1403679,2022-Q4,No
10/19/2022,Bridges Company,East,October,2022,Q4,1182590,2022-Q4,No
10/20/2022,Bridges Company,South,October,2022,Q4,789000,2022-Q4,No
10/23/2022,Titan Industries,West,October,2022,Q4,302000,2022-Q4,No
10/24/2022,Titan Industries,West,October,2022,Q4,102000,2022-Q4,No
10/25/2022,Titan Industries,South,October,2022,Q4,50000,2022-Q4,No
10/27/2022,Titan Industries,East,October,2022,Q4,720000,2022-Q4,No
10/27/2022,Titan Industries,North,October,2022,Q4,70000,2022-Q4,No
10/29/2022,ABC Corporation,North,October,2022,Q4,50500,2022-Q4,No
10/30/2022,Chiral Corporation,North,October,2022,Q4,63900,2022-Q4,No
